Date,Price
10/25/2018,1780
10/26/2018,1776
10/29/2018,1776
10/30/2018,1770
10/31/2018,1760
11/1/2018,1748
11/2/2018,1763
11/5/2018,1754
11/6/2018,1774
11/7/2018,1753
11/8/2018,1729
11/9/2018,1719
11/12/2018,1716
11/13/2018,1689
11/14/2018,1701
11/15/2018,1697
11/16/2018,1681
11/19/2018,1687
11/20/2018,1692
11/21/2018,1677.4
11/22/2018,1668
11/23/2018,1676
11/26/2018,1678
11/27/2018,1685
11/28/2018,1680
11/29/2018,1709
11/30/2018,1718
12/3/2018,1723
12/4/2018,1743
12/5/2018,1751
12/6/2018,1747
12/7/2018,1745
12/10/2018,1733
12/11/2018,1727
12/12/2018,1726.67
12/13/2018,1713.48
12/14/2018,1680.89
12/17/2018,1690.85
12/18/2018,1674.57
12/19/2018,1645.63
12/20/2018,1612.3
12/21/2018,1617.07
12/24/2018,1601.45
12/27/2018,1623
12/28/2018,1637.28
12/31/2018,1649.39
1/2/2019,1633.07
1/3/2019,1618.01
1/4/2019,1618.29
1/7/2019,1603.19
1/8/2019,1598.18
1/9/2019,1598.01
1/10/2019,1590.22
1/11/2019,1607.49
1/14/2019,1602.6
1/15/2019,1602.73
3/14/2019,1754
3/15/2019,1766.35
3/18/2019,1764
3/19/2019,1773.17
3/20/2019,1762.82
3/21/2019,1770.36
3/22/2019,1785
3/25/2019,1780.21
3/26/2019,1769.83
3/27/2019,1766.88
3/28/2019,1754.81
3/29/2019,1749.27
4/1/2019,1761.52
4/2/2019,1776.95
4/3/2019,1786.86
4/4/2019,1795.39
4/5/2019,1796.87
4/8/2019,1797.28
4/9/2019,1793.72
4/10/2019,1792.07
4/11/2019,1795.81
4/12/2019,1794.9
4/15/2019,1792.6
4/16/2019,1795.8
4/17/2019,1791.54
4/18/2019,1784.68
4/23/2019,1787.03
4/24/2019,1792
4/25/2019,1796
4/26/2019,1794.17
4/29/2019,1798.64
4/30/2019,1778.28
5/2/2019,1770.98
5/3/2019,1795.2
5/6/2019,1784
5/7/2019,1763.83
5/8/2019,1759
5/9/2019,1754
5/10/2019,1732.72
5/13/2019,1709.88
5/14/2019,1676.81
5/15/2019,1645.23
5/16/2019,1635.06
5/17/2019,1635.5
5/20/2019,1628.61
5/21/2019,1636.91
5/22/2019,1656.59
5/23/2019,1662.33
5/24/2019,1658.73
5/27/2019,1651.46
5/28/2019,1652.04
5/29/2019,1662.83
5/30/2019,1678.05
5/31/2019,1675.43
6/5/2019,1683.19
6/6/2019,1677.41
6/7/2019,1686.54
6/10/2019,1695.1
6/11/2019,1683.93
6/12/2019,1678.48
6/13/2019,1689.44
6/14/2019,1692.49
6/17/2019,1676
6/18/2019,1667
6/19/2019,1668.79
6/20/2019,1655.28
6/21/2019,1637.08
6/24/2019,1625.11
6/25/2019,1627.7
6/26/2019,1635.66
6/27/2019,1626.43
