Date,Close
6/28/2011,30
6/29/2011,30
6/30/2011,30.8
7/1/2011,30
7/4/2011,30
7/5/2011,30
7/6/2011,30
7/7/2011,30
7/8/2011,28
7/11/2011,30
7/12/2011,30
7/13/2011,28
7/14/2011,28.8
7/15/2011,28
7/18/2011,28
7/19/2011,29.8
7/20/2011,30
7/21/2011,30
7/22/2011,29.8
7/25/2011,28
7/26/2011,28.8
7/27/2011,30
7/28/2011,29
7/29/2011,29.4
8/1/2011,29.2
8/2/2011,28
8/3/2011,28.6
8/4/2011,28.2
8/5/2011,29.4
8/8/2011,28
8/9/2011,29
8/10/2011,29
8/11/2011,30
8/12/2011,29
8/15/2011,29
8/16/2011,29.6
8/17/2011,29
8/18/2011,29
8/19/2011,29
8/22/2011,29
8/23/2011,28
8/24/2011,28.2
8/25/2011,28
8/26/2011,28
8/29/2011,28
8/31/2011,28
9/1/2011,28
9/2/2011,29
9/5/2011,28
9/6/2011,28
9/7/2011,28
9/8/2011,28
9/9/2011,28
9/12/2011,29
9/14/2011,28
9/15/2011,28.8
9/16/2011,28.4
9/19/2011,28
9/20/2011,30
9/21/2011,30
9/22/2011,28.2
9/23/2011,28
9/26/2011,29
9/27/2011,29
9/28/2011,28
9/29/2011,29
9/30/2011,30
10/4/2011,28
10/5/2011,28
10/6/2011,28
10/7/2011,28
10/10/2011,28
10/12/2011,28
10/13/2011,28
10/17/2011,28
10/19/2011,28
10/24/2011,28
10/25/2011,28
10/26/2011,28
10/31/2011,28
11/1/2011,28
11/2/2011,28
11/4/2011,27.8
11/7/2011,27
11/9/2011,27
11/10/2011,26.2
11/11/2011,26
11/14/2011,23.4
11/16/2011,23.4
11/17/2011,23
11/18/2011,23
11/21/2011,23
11/22/2011,22
11/23/2011,20.2
11/24/2011,18.4
11/25/2011,18
11/28/2011,20
11/29/2011,19
12/1/2011,20
12/2/2011,20
12/5/2011,20
12/6/2011,18.8
12/7/2011,18
12/8/2011,18
12/9/2011,18
12/12/2011,18
12/13/2011,18
12/15/2011,18
12/16/2011,19
12/19/2011,18
12/20/2011,18
12/21/2011,18
12/22/2011,18
12/23/2011,18.4
12/27/2011,19
12/28/2011,19
12/29/2011,18
12/30/2011,24
1/2/2012,19
1/4/2012,18
1/5/2012,18.6
1/6/2012,19
1/9/2012,19
1/10/2012,19
1/11/2012,19
1/12/2012,19.2
1/13/2012,19.4
1/16/2012,20
1/17/2012,20
1/18/2012,20
1/19/2012,20
1/20/2012,20
1/23/2012,20
1/24/2012,20
1/25/2012,20
1/27/2012,20
1/30/2012,19.6
1/31/2012,19.8
2/1/2012,20
2/2/2012,20
2/3/2012,20
2/6/2012,20
2/7/2012,20
2/8/2012,19
2/9/2012,20
2/10/2012,20
2/13/2012,20
2/15/2012,20
2/16/2012,20
2/17/2012,20
2/20/2012,19.4
2/22/2012,20
2/23/2012,20
2/24/2012,20
2/27/2012,20
2/28/2012,20
2/29/2012,20
3/1/2012,20
3/2/2012,20
3/5/2012,20
3/6/2012,20
3/7/2012,20
3/9/2012,21
3/12/2012,20
3/13/2012,20
3/14/2012,20
3/15/2012,20
3/19/2012,20
3/20/2012,20
3/21/2012,20
3/26/2012,20
3/27/2012,20
3/29/2012,20
3/30/2012,20
4/2/2012,20
4/3/2012,21
4/4/2012,20
4/5/2012,21
4/10/2012,20
4/11/2012,20
4/12/2012,20
4/13/2012,20
4/16/2012,20
4/17/2012,20
4/18/2012,20
4/19/2012,21
4/23/2012,20.2
4/24/2012,20
4/25/2012,21
4/26/2012,21
4/27/2012,21
4/30/2012,21
5/2/2012,21
5/3/2012,21
5/4/2012,21
5/7/2012,21
5/8/2012,21
5/9/2012,21
5/10/2012,21
5/11/2012,21
5/14/2012,21
5/15/2012,21
5/16/2012,21
5/17/2012,21
5/21/2012,21
5/23/2012,21
5/24/2012,21
5/25/2012,22
5/28/2012,22
5/29/2012,22
5/30/2012,22
5/31/2012,22
6/4/2012,22
6/5/2012,22
6/6/2012,23
6/7/2012,22.2
6/8/2012,22
6/11/2012,23
6/12/2012,23
6/13/2012,22.4
6/14/2012,22
6/15/2012,23
6/18/2012,23
6/19/2012,23.8
6/20/2012,24
6/21/2012,24
6/22/2012,24.6
6/25/2012,24
6/26/2012,23.6
6/28/2012,25
6/29/2012,25
7/2/2012,25
7/3/2012,25
7/4/2012,25
7/5/2012,25
7/9/2012,25
7/10/2012,25
7/11/2012,25
7/12/2012,25
7/13/2012,25
7/16/2012,25
7/17/2012,25
7/18/2012,25
7/19/2012,27
7/20/2012,25
7/23/2012,25
7/24/2012,25
7/25/2012,25
7/26/2012,25
7/31/2012,25
8/2/2012,25
8/3/2012,25
8/6/2012,25
8/7/2012,25
8/9/2012,25
8/10/2012,25
8/13/2012,25
8/14/2012,25
8/15/2012,25
8/16/2012,25
8/17/2012,25
8/20/2012,25
8/21/2012,25
8/22/2012,25
8/23/2012,25
8/24/2012,25
8/27/2012,25
8/28/2012,25
8/29/2012,25
8/30/2012,25
8/31/2012,25
9/3/2012,25
9/4/2012,20
9/5/2012,25
9/6/2012,25
9/7/2012,25
9/10/2012,25
9/11/2012,25
9/12/2012,25
9/13/2012,25
9/14/2012,20
9/17/2012,25
9/18/2012,25
9/19/2012,25
9/20/2012,25
9/24/2012,25
9/25/2012,25
9/27/2012,23
9/28/2012,25
10/1/2012,20
10/2/2012,20
10/3/2012,20
10/5/2012,20
10/12/2012,25
10/15/2012,20
10/16/2012,20
10/17/2012,20
10/18/2012,20
10/19/2012,20
10/22/2012,20
10/23/2012,20
10/24/2012,20
10/25/2012,20
10/29/2012,20
10/30/2012,20
10/31/2012,20
11/1/2012,25
11/2/2012,20
11/5/2012,20
11/8/2012,20
11/12/2012,20
11/13/2012,20
11/14/2012,20
11/15/2012,20
11/16/2012,20
11/19/2012,20
11/20/2012,20
11/21/2012,20
11/23/2012,20
11/26/2012,20
11/28/2012,20
11/30/2012,20
12/3/2012,20
12/4/2012,20
12/6/2012,20
12/7/2012,25
12/11/2012,20
12/13/2012,22
12/17/2012,20
12/18/2012,20
12/19/2012,20
12/20/2012,20
12/21/2012,20
12/24/2012,20
12/27/2012,20
12/28/2012,20
12/31/2012,20
1/3/2013,20
1/4/2013,21
1/7/2013,20
1/8/2013,20
1/10/2013,20
1/11/2013,20
1/14/2013,20
1/15/2013,20
1/16/2013,24
1/18/2013,25
1/21/2013,25
1/22/2013,25
1/23/2013,25
1/24/2013,25
1/25/2013,25
1/28/2013,25
1/29/2013,25
1/31/2013,25
2/1/2013,25
2/4/2013,25
2/5/2013,25
2/6/2013,25
2/7/2013,25
2/8/2013,25
2/11/2013,25
2/12/2013,25
2/13/2013,25
2/14/2013,25
2/18/2013,25
2/19/2013,25
2/20/2013,25
2/21/2013,25
2/22/2013,25
2/25/2013,25
2/26/2013,25
2/27/2013,25
2/28/2013,25
3/1/2013,25
3/4/2013,25
3/5/2013,25
3/6/2013,25
3/11/2013,25
3/12/2013,25
3/13/2013,25
3/14/2013,25
3/15/2013,25
3/18/2013,25
3/19/2013,25
3/20/2013,25
3/21/2013,25
3/25/2013,25
3/26/2013,25
3/28/2013,25
4/2/2013,25
4/4/2013,25
4/5/2013,25
4/8/2013,25
4/9/2013,25
4/10/2013,25
4/11/2013,25
4/12/2013,25
4/15/2013,25
4/16/2013,25
4/17/2013,25
4/18/2013,25
4/19/2013,25
4/22/2013,25
4/24/2013,25
4/25/2013,30
4/26/2013,30
4/29/2013,30
4/30/2013,30
5/2/2013,30
5/3/2013,30
5/6/2013,30
5/7/2013,30
5/8/2013,30
5/10/2013,30
5/13/2013,30
5/14/2013,30
5/16/2013,30
5/17/2013,30
5/20/2013,30
5/21/2013,30
5/22/2013,30
5/24/2013,28
5/28/2013,30
5/29/2013,30
5/30/2013,30
5/31/2013,30
6/4/2013,25
6/5/2013,30
6/7/2013,26
6/10/2013,30
6/11/2013,30
6/12/2013,25
6/13/2013,30
6/14/2013,26
6/17/2013,30
6/18/2013,25
6/19/2013,25
6/20/2013,30
6/21/2013,29
6/24/2013,30
6/25/2013,30
6/26/2013,30
6/27/2013,26
6/28/2013,25
7/1/2013,30
7/2/2013,25
7/3/2013,30
7/9/2013,25
7/10/2013,30
7/11/2013,25
7/12/2013,30
7/15/2013,25
7/16/2013,25
7/17/2013,30
7/19/2013,25
7/22/2013,25
7/23/2013,25
7/29/2013,25
7/31/2013,25
8/1/2013,25
8/2/2013,25
8/5/2013,25
8/7/2013,25
8/9/2013,25
8/12/2013,25
8/14/2013,25
8/16/2013,25
8/19/2013,25
8/20/2013,25
8/21/2013,25
8/22/2013,25
8/23/2013,25
8/26/2013,25
8/28/2013,25
8/29/2013,25
8/30/2013,25
9/2/2013,25
9/3/2013,25
9/4/2013,25
9/5/2013,30
9/9/2013,26
9/10/2013,26
9/11/2013,25
9/12/2013,25
9/13/2013,25
9/17/2013,25
9/18/2013,25
9/19/2013,25
9/20/2013,25
9/23/2013,25
9/25/2013,25
9/27/2013,25
9/30/2013,25
10/1/2013,25
10/2/2013,25
10/3/2013,25
10/4/2013,25
10/7/2013,25
10/8/2013,29
10/11/2013,27
10/14/2013,30
10/16/2013,30
10/18/2013,25
10/21/2013,27
10/22/2013,26
10/23/2013,25
10/24/2013,30
10/28/2013,25
10/29/2013,25
10/30/2013,30
10/31/2013,30
11/1/2013,30
11/5/2013,30
11/6/2013,30
11/7/2013,25
11/8/2013,30
11/11/2013,30
11/12/2013,30
11/13/2013,30
11/14/2013,30
11/18/2013,30
11/19/2013,30
11/20/2013,25
11/22/2013,30
11/25/2013,26
11/26/2013,30
11/27/2013,30
11/28/2013,25
